Scientific Name,Accession,analysis_node,filtered_total_count,filtered_microRNA_score,filtered_no_hits,unfiltered_total_count,unfiltered_microRNA_score,filtered_out_families
Peromyscus eremicus,GCA_902702925.1,Glires,152,69.09,"Mir-1296, Mir-1307, Mir-1329, Mir-137, Mir-1379, Mir-1388, Mir-1397, Mir-1416, Mir-142, Mir-143, Mir-1662, Mir-1788, Mir-1805, Mir-1842, Mir-2001, Mir-2114, Mir-2184, Mir-2188, Mir-2387, Mir-242, Mir-2483, Mir-252, Mir-278, Mir-281, Mir-2970, Mir-315, Mir-3613, Mir-375, Mir-4057, Mir-4541, Mir-456, Mir-458, Mir-460, Mir-486, Mir-652, Mir-6529, Mir-71, Mir-7147, Mir-7180, Mir-725, Mir-726, Mir-727, Mir-737, Mir-76, Mir-885",175,79.55,"Mir-1277, Mir-1301, Mir-187, Mir-1911, Mir-197, Mir-2355, Mir-330, Mir-339, Mir-345, Mir-432, Mir-483, Mir-489, Mir-541, Mir-542, Mir-599, Mir-628, Mir-676, Mir-722, Mir-769, Mir-872, Mir-876, Mir-877, Mir-9851"
Adalia bipunctata,GCA_910591895.1,Endopterygota,36,56.25,"Iab-4, Mir-12, Mir-1993, Mir-2001, Mir-216, Mir-242, Mir-278, Mir-281, Mir-306, Mir-315, Mir-36, Mir-67, Mir-750, Mir-929, Mir-965",49,76.56,"Mir-1, Mir-1175, Mir-153, Mir-219, Mir-22, Mir-275, Mir-2765, Mir-3, Mir-3049, Mir-316, Mir-927, Mir-970, Mir-989"
Leucozona laternaria,GCA_932273885.1,Diptera,51,76.12,"Mir-242, Mir-2765, Mir-2796, Mir-3049, Mir-36, Mir-71, Mir-750",60,89.55,"Mir-153, Mir-1993, Mir-275, Mir-87, Mir-932, Mir-957, Mir-970, Mir-971, Mir-999"
Ovis aries,GCA_002742125.1,Laurasiatheria,170,78.34,"Mir-1416, Mir-1662, Mir-1788, Mir-1805, Mir-2001, Mir-2184, Mir-2188, Mir-242, Mir-252, Mir-278, Mir-281, Mir-2970, Mir-315, Mir-384, Mir-4057, Mir-456, Mir-458, Mir-460, Mir-675, Mir-7147, Mir-725, Mir-726, Mir-727, Mir-76",193,88.94,"Mir-1301, Mir-1306, Mir-1329, Mir-134, Mir-1379, Mir-1397, Mir-1842, Mir-1911, Mir-2114, Mir-325, Mir-337, Mir-350, Mir-431, Mir-448, Mir-452, Mir-4541, Mir-541, Mir-598, Mir-672, Mir-676, Mir-71, Mir-722, Mir-737"
Acronicta aceris,GCA_910591495.2,Lepidoptera,44,65.67,"Mir-12, Mir-14, Mir-242, Mir-3049, Mir-315, Mir-375, Mir-957",60,89.55,"Mir-1000, Mir-153, Mir-193, Mir-1993, Mir-219, Mir-22, Mir-275, Mir-276, Mir-2765, Mir-306, Mir-71, Mir-92, Mir-932, Mir-970, Mir-988, Mir-999"
Mythimna ferrago,GCA_910589535.2,Lepidoptera,45,67.16,"Mir-12, Mir-153, Mir-219, Mir-242, Mir-3049, Mir-315, Mir-36, Mir-375, Mir-999",58,86.57,"Mir-1000, Mir-14, Mir-193, Mir-1993, Mir-22, Mir-275, Mir-2765, Mir-306, Mir-33, Mir-71, Mir-957, Mir-970, Mir-988"
Craniophora ligustri,GCA_905163465.1,Lepidoptera,46,68.66,"Mir-12, Mir-242, Mir-3049, Mir-315, Mir-36, Mir-375, Mir-957",60,89.55,"Mir-1000, Mir-14, Mir-153, Mir-193, Mir-1993, Mir-219, Mir-22, Mir-275, Mir-2765, Mir-306, Mir-932, Mir-970, Mir-988, Mir-999"
Xanthogramma pedissequum,GCA_910595765.1,Diptera,48,71.64,"Mir-1175, Mir-1993, Mir-2001, Mir-242, Mir-2765, Mir-2796, Mir-3049, Mir-36, Mir-71, Mir-750, Mir-87",56,83.58,"Let-7, Mir-153, Mir-275, Mir-306, Mir-932, Mir-957, Mir-971, Mir-999"
Corvus moneduloides,GCA_009650515.1,Neognathae,103,80.47,"Mir-132, Mir-150, Mir-2001, Mir-208, Mir-2184, Mir-242, Mir-278, Mir-281, Mir-315, Mir-4057, Mir-4541, Mir-459, Mir-71, Mir-7147, Mir-722, Mir-726, Mir-727, Mir-76",110,85.94,"Mir-144, Mir-1720, Mir-2131, Mir-599, Mir-725, Mir-737, Mir-875"
Clostera curtula,GCA_905475355.1,Lepidoptera,50,74.63,"Mir-12, Mir-1993, Mir-242, Mir-3049",63,94.03,"Mir-1000, Mir-153, Mir-193, Mir-219, Mir-22, Mir-2765, Mir-306, Mir-36, Mir-932, Mir-957, Mir-970, Mir-988, Mir-999"
Apotomis turbidana,GCA_905147355.2,Lepidoptera,50,74.63,"Mir-12, Mir-153, Mir-1993, Mir-242, Mir-3049, Mir-315, Mir-957",60,89.55,"Mir-1000, Mir-14, Mir-219, Mir-22, Mir-2765, Mir-2796, Mir-306, Mir-932, Mir-970, Mir-999"
Heterocephalus glaber,GCA_944319715.1,Glires,167,75.91,"Mir-1307, Mir-1329, Mir-1397, Mir-1662, Mir-1788, Mir-1805, Mir-2001, Mir-2188, Mir-242, Mir-2483, Mir-252, Mir-278, Mir-281, Mir-2970, Mir-315, Mir-346, Mir-4057, Mir-4541, Mir-456, Mir-458, Mir-460, Mir-628, Mir-71, Mir-725, Mir-726, Mir-727, Mir-737, Mir-76",192,87.27,"Mir-1271, Mir-1277, Mir-1379, Mir-1416, Mir-147, Mir-1911, Mir-1912, Mir-2114, Mir-2184, Mir-2387, Mir-489, Mir-504, Mir-511, Mir-541, Mir-590, Mir-598, Mir-6529, Mir-672, Mir-675, Mir-7147, Mir-7180, Mir-722, Mir-770, Mir-877, Mir-935"
Pipra filicauda,GCA_003945595.1,Neognathae,106,82.81,"Mir-150, Mir-2001, Mir-208, Mir-242, Mir-252, Mir-278, Mir-281, Mir-315, Mir-4057, Mir-459, Mir-71, Mir-7147, Mir-725, Mir-726, Mir-727, Mir-76",112,87.5,"Mir-1559, Mir-1781, Mir-2131, Mir-4541, Mir-722, Mir-737"
Canis lupus familiaris,GCA_004886185.1,Laurasiatheria,173,79.72,"Mir-1329, Mir-1379, Mir-1397, Mir-1416, Mir-1662, Mir-1788, Mir-1805, Mir-2001, Mir-2184, Mir-2188, Mir-221, Mir-224, Mir-242, Mir-252, Mir-278, Mir-281, Mir-2970, Mir-315, Mir-337, Mir-361, Mir-4057, Mir-450, Mir-452, Mir-4541, Mir-456, Mir-460, Mir-491, Mir-542, Mir-71, Mir-7147, Mir-725, Mir-726, Mir-727, Mir-737, Mir-76",182,83.87,"Mir-105, Mir-1277, Mir-458, Mir-541, Mir-598, Mir-670, Mir-672, Mir-722, Mir-760"
Plutella xylostella,GCA_932276175.1,Lepidoptera,47,70.15,"Mir-153, Mir-1993, Mir-219, Mir-242, Mir-3049, Mir-315, Mir-36, Mir-999",59,88.06,"Mir-1000, Mir-12, Mir-14, Mir-2001, Mir-22, Mir-2765, Mir-2796, Mir-306, Mir-932, Mir-957, Mir-970, Mir-988"
Ypsolopha scabrella,GCA_910592155.1,Lepidoptera,48,71.64,"Mir-12, Mir-3049, Mir-315, Mir-36, Mir-999",62,92.54,"Mir-1000, Mir-14, Mir-153, Mir-1993, Mir-219, Mir-22, Mir-242, Mir-2765, Mir-316, Mir-929, Mir-932, Mir-957, Mir-970, Mir-988"
Carcina quercana,GCA_910589575.1,Lepidoptera,49,73.13,"Mir-12, Mir-153, Mir-242, Mir-3049, Mir-315, Mir-36, Mir-999",60,89.55,"Mir-1000, Mir-193, Mir-1993, Mir-219, Mir-275, Mir-2765, Mir-932, Mir-957, Mir-970, Mir-971, Mir-988"
Stomorhina lunata,GCA_933228675.1,Diptera,40,59.7,"Mir-242, Mir-2765, Mir-2796, Mir-3049, Mir-36, Mir-750, Mir-971",60,89.55,"Mir-1000, Mir-1175, Mir-14, Mir-153, Mir-193, Mir-1993, Mir-2001, Mir-275, Mir-29, Mir-3, Mir-306, Mir-71, Mir-87, Mir-932, Mir-957, Mir-965, Mir-970, Mir-988, Mir-989, Mir-999"
Solea senegalensis,GCA_919967415.2,Clupeocephala,96,84.21,"Mir-1329, Mir-2001, Mir-242, Mir-252, Mir-278, Mir-281, Mir-315, Mir-32, Mir-4541, Mir-726, Mir-729, Mir-76",102,89.47,"Mir-147, Mir-4057, Mir-425, Mir-71, Mir-7132, Mir-875"
Agrypnus murinus,GCA_929113105.1,Endopterygota,50,78.12,"Mir-153, Mir-1993, Mir-2001, Mir-242, Mir-278, Mir-3049, Mir-36",57,89.06,"Mir-275, Mir-2765, Mir-306, Mir-316, Mir-965, Mir-970, Mir-989"
Penaeus japonicus,GCA_017312705.1,Pancrustacea,37,69.81,"Mir-137, Mir-1993, Mir-216, Mir-22, Mir-242, Mir-31, Mir-36, Mir-375",45,84.91,"Iab-4, Mir-275, Mir-2765, Mir-278, Mir-282, Mir-316, Mir-33, Mir-965"
Oryzias latipes,GCA_002234715.1,Clupeocephala,92,80.7,"Mir-1329, Mir-2001, Mir-242, Mir-252, Mir-278, Mir-281, Mir-315, Mir-32, Mir-4541, Mir-458, Mir-7147, Mir-737, Mir-76, Mir-875",100,87.72,"Mir-147, Mir-187, Mir-4057, Mir-425, Mir-456, Mir-551, Mir-71, Mir-729"
Fragum fragum,GCA_946902895.1,Mollusca,43,82.69,"Mir-210, Mir-252",50,96.15,"Mir-1984, Mir-1985, Mir-1989, Mir-1994, Mir-2001, Mir-242, Mir-2722"
Acleris emargana,GCA_927399475.1,Lepidoptera,47,70.15,"Mir-12, Mir-242, Mir-3049, Mir-315, Mir-36, Mir-999",61,91.04,"Mir-1000, Mir-14, Mir-153, Mir-193, Mir-1993, Mir-219, Mir-22, Mir-2765, Mir-2796, Mir-71, Mir-932, Mir-957, Mir-970, Mir-988"
Vanessa cardui,GCA_905220365.1,Lepidoptera,51,76.12,"Mir-12, Mir-219, Mir-242, Mir-3049, Mir-36, Mir-375, Mir-957, Mir-999",59,88.06,"Mir-1000, Mir-14, Mir-153, Mir-1993, Mir-22, Mir-2765, Mir-315, Mir-929"
Hylobates moloch,GCA_009828535.2,Catarrhini,197,80.41,"Mir-1388, Mir-1397, Mir-1662, Mir-1788, Mir-1805, Mir-1842, Mir-2001, Mir-2184, Mir-2188, Mir-252, Mir-278, Mir-281, Mir-2970, Mir-315, Mir-4057, Mir-456, Mir-458, Mir-460, Mir-71, Mir-7147, Mir-725, Mir-726, Mir-727, Mir-76",221,90.2,"Mir-1329, Mir-1379, Mir-1416, Mir-2355, Mir-2387, Mir-242, Mir-2483, Mir-3146, Mir-325, Mir-350, Mir-3617, Mir-384, Mir-4541, Mir-4677, Mir-550, Mir-576, Mir-577, Mir-579, Mir-605, Mir-624, Mir-672, Mir-722, Mir-737, Mir-944"
Gallus gallus,GCA_016699485.1,Neognathae,105,82.03,"Mir-139, Mir-150, Mir-2001, Mir-208, Mir-242, Mir-252, Mir-278, Mir-281, Mir-315, Mir-4057, Mir-459, Mir-71, Mir-7147, Mir-725, Mir-726, Mir-727, Mir-737, Mir-76, Mir-875",109,85.16,"Mir-1467, Mir-4541, Mir-599, Mir-722"
Hyles vespertilio,GCA_009982885.1,Lepidoptera,47,70.15,"Mir-12, Mir-1993, Mir-219, Mir-242, Mir-3049, Mir-315, Mir-36, Mir-375, Mir-957, Mir-988, Mir-999",56,83.58,"Mir-1000, Mir-14, Mir-153, Mir-193, Mir-22, Mir-2765, Mir-932, Mir-965, Mir-970"
Colias croceus,GCA_905220445.1,Lepidoptera,47,70.15,"Mir-12, Mir-14, Mir-153, Mir-1993, Mir-242, Mir-3049, Mir-315, Mir-36, Mir-375, Mir-957, Mir-999",56,83.58,"Mir-1000, Mir-219, Mir-22, Mir-2765, Mir-71, Mir-929, Mir-932, Mir-970, Mir-988"
Peribatodes rhomboidaria,GCA_911728515.1,Lepidoptera,48,71.64,"Mir-242, Mir-3049, Mir-315, Mir-36, Mir-957",62,92.54,"Mir-1000, Mir-12, Mir-14, Mir-153, Mir-193, Mir-1993, Mir-219, Mir-22, Mir-2765, Mir-306, Mir-929, Mir-932, Mir-970, Mir-999"
Dolichovespula media,GCA_911387685.1,Endopterygota,43,67.19,"Mir-153, Mir-193, Mir-1993, Mir-22, Mir-242, Mir-36, Mir-87, Mir-970",56,87.5,"Mir-1000, Mir-14, Mir-2001, Mir-2765, Mir-2796, Mir-3049, Mir-306, Mir-316, Mir-375, Mir-929, Mir-932, Mir-971, Mir-989"
Synanthedon andrenaeformis,GCA_936447275.1,Lepidoptera,43,64.18,"Mir-1000, Mir-124, Mir-1993, Mir-2001, Mir-242, Mir-3049, Mir-315, Mir-36, Mir-971, Mir-999",57,85.07,"Let-7, Mir-12, Mir-14, Mir-153, Mir-219, Mir-22, Mir-275, Mir-2765, Mir-2796, Mir-306, Mir-71, Mir-957, Mir-988, Mir-989"
Bombus confusus,GCA_014737475.1,Endopterygota,46,71.88,"Mir-153, Mir-1993, Mir-242, Mir-36, Mir-970, Mir-989",58,90.62,"Mir-1000, Mir-14, Mir-2001, Mir-22, Mir-2765, Mir-2796, Mir-3049, Mir-306, Mir-316, Mir-929, Mir-932, Mir-965"
Phyllotreta striolata,GCA_918026865.1,Endopterygota,46,71.88,"Mir-153, Mir-1993, Mir-2001, Mir-242, Mir-278, Mir-306, Mir-36",57,89.06,"Mir-14, Mir-22, Mir-275, Mir-2796, Mir-3049, Mir-316, Mir-375, Mir-750, Mir-965, Mir-970, Mir-989"
Thymelicus sylvestris,GCA_911387775.1,Lepidoptera,46,68.66,"Mir-1993, Mir-219, Mir-242, Mir-3049, Mir-315, Mir-36, Mir-375, Mir-957, Mir-999",58,86.57,"Mir-1000, Mir-12, Mir-14, Mir-153, Mir-22, Mir-275, Mir-2765, Mir-306, Mir-932, Mir-970, Mir-971, Mir-988"
Carcina quercana,GCA_910589345.2,Lepidoptera,49,73.13,"Mir-12, Mir-242, Mir-3049, Mir-315, Mir-36, Mir-957, Mir-999",60,89.55,"Mir-1000, Mir-153, Mir-193, Mir-1993, Mir-219, Mir-275, Mir-2765, Mir-932, Mir-970, Mir-971, Mir-988"
Marasmia exigua,GCA_019059595.1,Lepidoptera,49,73.13,"Mir-12, Mir-153, Mir-242, Mir-3049, Mir-315, Mir-957",61,91.04,"Mir-1000, Mir-193, Mir-219, Mir-22, Mir-275, Mir-2765, Mir-2796, Mir-3, Mir-36, Mir-929, Mir-970, Mir-999"
Sarcophaga caerulescens,GCA_927399465.1,Diptera,43,64.18,"Mir-153, Mir-1993, Mir-242, Mir-2765, Mir-2796, Mir-3049, Mir-36, Mir-71, Mir-750, Mir-971",57,85.07,"Mir-1175, Mir-14, Mir-2001, Mir-275, Mir-29, Mir-3, Mir-306, Mir-76, Mir-87, Mir-932, Mir-957, Mir-970, Mir-988, Mir-999"
Homo sapiens,GCA_018473295.1,Catarrhini,208,84.9,"Mir-1388, Mir-1397, Mir-1662, Mir-1788, Mir-1805, Mir-1842, Mir-2001, Mir-2184, Mir-2188, Mir-242, Mir-252, Mir-278, Mir-281, Mir-2970, Mir-315, Mir-350, Mir-4057, Mir-4541, Mir-456, Mir-460, Mir-7147, Mir-725, Mir-726, Mir-727, Mir-76",220,89.8,"Mir-1329, Mir-1379, Mir-1416, Mir-2387, Mir-2483, Mir-384, Mir-458, Mir-672, Mir-71, Mir-7180, Mir-722, Mir-737"
Tropheus moorii,GCA_902810505.1,Clupeocephala,100,87.72,"Mir-1329, Mir-2001, Mir-242, Mir-278, Mir-281, Mir-315, Mir-71, Mir-76, Mir-875",105,92.11,"Mir-147, Mir-32, Mir-4057, Mir-4541, Mir-729"
Cavia tschudii,GCA_004027695.1,Glires,177,80.45,"Mir-1307, Mir-1329, Mir-1397, Mir-1416, Mir-1662, Mir-1788, Mir-1805, Mir-1911, Mir-2001, Mir-2184, Mir-2188, Mir-242, Mir-2483, Mir-252, Mir-278, Mir-281, Mir-2970, Mir-315, Mir-384, Mir-4057, Mir-4541, Mir-456, Mir-458, Mir-460, Mir-489, Mir-590, Mir-628, Mir-71, Mir-7147, Mir-7180, Mir-725, Mir-726, Mir-737, Mir-76, Mir-770, Mir-877",184,83.64,"Mir-1249, Mir-2114, Mir-325, Mir-544, Mir-722, Mir-727, Mir-9851"
Micropterus salmoides,GCA_022435785.1,Clupeocephala,97,85.09,"Mir-1329, Mir-242, Mir-252, Mir-278, Mir-281, Mir-4057, Mir-729, Mir-76",106,92.98,"Mir-147, Mir-2001, Mir-315, Mir-32, Mir-425, Mir-451, Mir-4541, Mir-71, Mir-875"
Tursiops aduncus,GCA_003227395.1,Laurasiatheria,172,79.26,"Mir-1397, Mir-1416, Mir-1662, Mir-1788, Mir-2001, Mir-2114, Mir-2184, Mir-2188, Mir-242, Mir-252, Mir-278, Mir-281, Mir-2970, Mir-315, Mir-337, Mir-4057, Mir-4541, Mir-456, Mir-458, Mir-460, Mir-675, Mir-71, Mir-7147, Mir-725, Mir-726, Mir-727, Mir-76",190,87.56,"Mir-1301, Mir-1307, Mir-1329, Mir-1379, Mir-1805, Mir-1842, Mir-187, Mir-1911, Mir-2355, Mir-339, Mir-350, Mir-592, Mir-653, Mir-672, Mir-722, Mir-737, Mir-744, Mir-877"
Falco tinnunculus,GCA_010332995.1,Neognathae,105,82.03,"Mir-1416, Mir-150, Mir-2001, Mir-208, Mir-242, Mir-252, Mir-278, Mir-281, Mir-315, Mir-459, Mir-71, Mir-7147, Mir-722, Mir-725, Mir-76",113,88.28,"Mir-1720, Mir-1781, Mir-2131, Mir-4057, Mir-4541, Mir-726, Mir-727, Mir-737"
Hecatera dysodea,GCA_905332915.2,Lepidoptera,48,71.64,"Mir-3049, Mir-36, Mir-375",64,95.52,"Mir-1000, Mir-12, Mir-14, Mir-153, Mir-193, Mir-1993, Mir-219, Mir-22, Mir-242, Mir-275, Mir-2765, Mir-306, Mir-957, Mir-970, Mir-988, Mir-999"
Ixodes persulcatus,GCA_013358835.1,Chelicerata,47,92.16,Mir-242,50,98.04,"Mir-193, Mir-276, Mir-5735"
Ovis aries,GCA_000298735.2,Laurasiatheria,161,74.19,"Mir-126, Mir-1397, Mir-1416, Mir-1662, Mir-1788, Mir-1805, Mir-185, Mir-2001, Mir-202, Mir-2184, Mir-2188, Mir-242, Mir-252, Mir-278, Mir-281, Mir-2970, Mir-315, Mir-375, Mir-384, Mir-4057, Mir-456, Mir-458, Mir-460, Mir-675, Mir-7147, Mir-725, Mir-726, Mir-727, Mir-76",188,86.64,"Mir-1301, Mir-1306, Mir-1329, Mir-134, Mir-1379, Mir-139, Mir-1842, Mir-1911, Mir-203, Mir-2114, Mir-325, Mir-337, Mir-350, Mir-431, Mir-448, Mir-452, Mir-4541, Mir-483, Mir-541, Mir-598, Mir-672, Mir-676, Mir-71, Mir-722, Mir-737, Mir-760, Mir-935"
Hipposideros armiger,GCA_001890085.1,Laurasiatheria,167,76.96,"Mir-1397, Mir-1662, Mir-1788, Mir-1805, Mir-2001, Mir-2184, Mir-2188, Mir-242, Mir-252, Mir-278, Mir-281, Mir-2970, Mir-315, Mir-4057, Mir-456, Mir-458, Mir-460, Mir-676, Mir-71, Mir-725, Mir-726, Mir-727, Mir-737, Mir-76",193,88.94,"Mir-1277, Mir-1329, Mir-1379, Mir-1416, Mir-1842, Mir-1911, Mir-197, Mir-2483, Mir-296, Mir-337, Mir-384, Mir-448, Mir-452, Mir-4541, Mir-504, Mir-541, Mir-592, Mir-598, Mir-652, Mir-653, Mir-671, Mir-675, Mir-7147, Mir-722, Mir-873, Mir-877"
Aporia crataegi,GCA_912999795.2,Lepidoptera,46,68.66,"Mir-12, Mir-153, Mir-219, Mir-242, Mir-3049, Mir-315, Mir-36, Mir-375, Mir-957, Mir-999",57,85.07,"Mir-1000, Mir-14, Mir-1993, Mir-22, Mir-2765, Mir-306, Mir-92, Mir-929, Mir-932, Mir-970, Mir-988"
Acrobasis suavella,GCA_943193685.1,Lepidoptera,44,65.67,"Mir-10, Mir-12, Mir-242, Mir-3049, Mir-957",62,92.54,"Iab-4, Mir-1000, Mir-14, Mir-153, Mir-1993, Mir-219, Mir-22, Mir-275, Mir-2765, Mir-282, Mir-29, Mir-315, Mir-76, Mir-932, Mir-965, Mir-970, Mir-988, Mir-999"
Synanthedon myopaeformis,GCA_944738625.1,Lepidoptera,43,64.18,"Mir-1993, Mir-219, Mir-242, Mir-277, Mir-3049, Mir-315, Mir-317, Mir-34, Mir-36, Mir-957",57,85.07,"Mir-1000, Mir-12, Mir-14, Mir-153, Mir-193, Mir-2001, Mir-22, Mir-275, Mir-2765, Mir-2796, Mir-306, Mir-92, Mir-988, Mir-999"
Vespula vulgaris,GCA_905404185.1,Endopterygota,43,67.19,"Mir-153, Mir-193, Mir-1993, Mir-22, Mir-242, Mir-36, Mir-87, Mir-970",56,87.5,"Mir-1000, Mir-14, Mir-2001, Mir-2765, Mir-2796, Mir-3049, Mir-306, Mir-316, Mir-927, Mir-929, Mir-932, Mir-971, Mir-989"
Astatotilapia calliptera,GCA_900246225.5,Clupeocephala,99,86.84,"Mir-1329, Mir-2001, Mir-242, Mir-252, Mir-278, Mir-281, Mir-315, Mir-32, Mir-4057, Mir-4541, Mir-71, Mir-76",102,89.47,"Mir-147, Mir-729, Mir-875"
Limnoperna fortunei,GCA_944474755.1,Mollusca,46,88.46,,52,100.0,"Mir-1984, Mir-1985, Mir-210, Mir-242, Mir-2722, Mir-9"
Homo sapiens,GCA_018469685.1,Catarrhini,208,84.9,"Mir-1388, Mir-1397, Mir-1662, Mir-1788, Mir-1805, Mir-1842, Mir-2001, Mir-2184, Mir-2188, Mir-242, Mir-252, Mir-278, Mir-281, Mir-2970, Mir-315, Mir-350, Mir-4057, Mir-4541, Mir-456, Mir-7147, Mir-725, Mir-726, Mir-727, Mir-76",221,90.2,"Mir-1329, Mir-1379, Mir-1416, Mir-2387, Mir-2483, Mir-384, Mir-458, Mir-460, Mir-672, Mir-71, Mir-7180, Mir-722, Mir-737"
Bubalus bubalis,GCA_003121395.1,Laurasiatheria,175,80.65,"Mir-1397, Mir-1416, Mir-1662, Mir-1788, Mir-1805, Mir-2001, Mir-2184, Mir-2188, Mir-242, Mir-252, Mir-278, Mir-281, Mir-2970, Mir-315, Mir-337, Mir-384, Mir-4057, Mir-4541, Mir-456, Mir-458, Mir-460, Mir-675, Mir-71, Mir-7147, Mir-726, Mir-727, Mir-76",190,87.56,"Mir-1301, Mir-1379, Mir-2114, Mir-325, Mir-350, Mir-590, Mir-592, Mir-598, Mir-672, Mir-676, Mir-722, Mir-725, Mir-737, Mir-744, Mir-769"
Anopheles coustani,GCA_943734705.1,Diptera,44,65.67,"Mir-153, Mir-1993, Mir-2001, Mir-242, Mir-3049, Mir-36, Mir-750",60,89.55,"Bantam, Mir-14, Mir-216, Mir-22, Mir-275, Mir-2765, Mir-2796, Mir-306, Mir-316, Mir-317, Mir-76, Mir-932, Mir-957, Mir-971, Mir-989, Mir-999"
Hydraecia micacea,GCA_914767565.1,Lepidoptera,45,67.16,"Mir-242, Mir-3049, Mir-957, Mir-999",63,94.03,"Mir-1000, Mir-12, Mir-14, Mir-153, Mir-193, Mir-1993, Mir-219, Mir-22, Mir-275, Mir-2765, Mir-306, Mir-36, Mir-375, Mir-71, Mir-932, Mir-965, Mir-970, Mir-988"
Bubo bubo,GCA_010303855.1,Neognathae,101,78.91,"Mir-132, Mir-139, Mir-144, Mir-150, Mir-191, Mir-2001, Mir-203, Mir-208, Mir-210, Mir-2184, Mir-242, Mir-252, Mir-278, Mir-281, Mir-315, Mir-4057, Mir-451, Mir-4541, Mir-71, Mir-7147, Mir-722, Mir-725, Mir-726, Mir-727, Mir-76",103,80.47,"Mir-1467, Mir-1781"
Rhopalosiphum maidis,GCA_003676215.3,Neoptera,33,53.23,"Mir-12, Mir-133, Mir-153, Mir-1993, Mir-2001, Mir-210, Mir-216, Mir-22, Mir-242, Mir-2765, Mir-282, Mir-3, Mir-306, Mir-31, Mir-33, Mir-36, Mir-932",45,72.58,"Iab-4, Mir-1, Mir-14, Mir-275, Mir-277, Mir-2796, Mir-3049, Mir-316, Mir-317, Mir-929, Mir-965, Mir-971"
Sebastes umbrosus,GCA_015220745.1,Clupeocephala,97,85.09,"Mir-1329, Mir-242, Mir-252, Mir-278, Mir-281, Mir-315, Mir-4057, Mir-71, Mir-76",105,92.11,"Mir-147, Mir-2001, Mir-32, Mir-451, Mir-4541, Mir-729, Mir-737, Mir-875"
Bos mutus,GCA_007646595.3,Laurasiatheria,176,81.11,"Mir-1397, Mir-1416, Mir-1662, Mir-1788, Mir-1805, Mir-2001, Mir-203, Mir-2184, Mir-2188, Mir-221, Mir-242, Mir-252, Mir-278, Mir-281, Mir-2970, Mir-315, Mir-337, Mir-361, Mir-384, Mir-4057, Mir-4541, Mir-456, Mir-458, Mir-460, Mir-675, Mir-7147, Mir-725, Mir-726, Mir-727, Mir-76",187,86.18,"Mir-134, Mir-1379, Mir-2114, Mir-325, Mir-350, Mir-598, Mir-672, Mir-676, Mir-71, Mir-722, Mir-737"
Marasmarcha lunaedactyla,GCA_923062595.1,Lepidoptera,33,49.25,"Mir-10, Mir-1000, Mir-1175, Mir-12, Mir-133, Mir-137, Mir-14, Mir-153, Mir-193, Mir-219, Mir-22, Mir-242, Mir-278, Mir-281, Mir-3, Mir-3049, Mir-315, Mir-36, Mir-67, Mir-71, Mir-750, Mir-957, Mir-999",44,65.67,"Iab-4, Mir-1, Mir-2765, Mir-306, Mir-316, Mir-76, Mir-929, Mir-932, Mir-965, Mir-970, Mir-988"
Bombus hypnorum,GCA_911387925.1,Endopterygota,46,71.88,"Mir-153, Mir-1993, Mir-242, Mir-36, Mir-970",59,92.19,"Mir-1000, Mir-14, Mir-2001, Mir-22, Mir-2765, Mir-2796, Mir-3049, Mir-306, Mir-316, Mir-929, Mir-932, Mir-965, Mir-989"
Homo sapiens,GCA_018470435.1,Catarrhini,184,75.1,"Mir-105, Mir-1298, Mir-1388, Mir-1397, Mir-1662, Mir-1788, Mir-1805, Mir-1842, Mir-188, Mir-1911, Mir-2001, Mir-2114, Mir-2184, Mir-2188, Mir-221, Mir-223, Mir-224, Mir-242, Mir-2483, Mir-252, Mir-278, Mir-281, Mir-2970, Mir-315, Mir-350, Mir-361, Mir-362, Mir-374, Mir-384, Mir-4057, Mir-448, Mir-452, Mir-4541, Mir-456, Mir-504, Mir-505, Mir-542, Mir-651, Mir-7147, Mir-725, Mir-726, Mir-727, Mir-76, Mir-934",201,82.04,"Mir-1277, Mir-1329, Mir-1379, Mir-1416, Mir-1912, Mir-2387, Mir-325, Mir-450, Mir-458, Mir-460, Mir-652, Mir-672, Mir-676, Mir-71, Mir-7180, Mir-722, Mir-737"
Diarsia rubi,GCA_932274355.1,Lepidoptera,44,65.67,"Mir-12, Mir-242, Mir-3049, Mir-315, Mir-375, Mir-957",61,91.04,"Mir-1000, Mir-14, Mir-153, Mir-1993, Mir-219, Mir-22, Mir-275, Mir-2765, Mir-306, Mir-36, Mir-71, Mir-929, Mir-932, Mir-965, Mir-970, Mir-988, Mir-999"
Dimorphilus gyrociliatus,GCA_904063045.1,Annelida,34,53.12,"Mir-1986, Mir-1987, Mir-1989, Mir-1990, Mir-1994, Mir-1995, Mir-22, Mir-242, Mir-2685, Mir-2686, Mir-2687, Mir-2689, Mir-2690, Mir-2691, Mir-2693, Mir-2705, Mir-2707",47,73.44,"Bantam, Mir-137, Mir-1992, Mir-1993, Mir-1996, Mir-1997, Mir-1998, Mir-2000, Mir-210, Mir-277, Mir-317, Mir-375, Mir-96"
Anneissia japonica,GCA_011630105.1,Echinodermata,26,66.67,"Mir-190, Mir-281, Mir-315",36,92.31,"Mir-103, Mir-2006, Mir-2007, Mir-2008, Mir-2009, Mir-2011, Mir-2012, Mir-22, Mir-242, Mir-76"
